package_name,dependencies
linux,coreutils:kmod:initramfs
linux-firmware,linux-firmware-whence
sof-firmware,None
alsa-ucm-conf,None
base,filesystem:gcc-libs:glibc:bash:coreutils:file:findutils:gawk:grep:procps-ng:sed:tar:gettext:pciutils:psmisc:shadow:util-linux:bzip2:gzip:xz:licenses:pacman:archlinux-keyring:systemd:systemd-sysvcompat:iputils:iproute2
bluez,libical:dbus:glib2:alsa-lib:json-c
bluez-utils,dbus:systemd:glib2
man-db,bash:gdbm:zlib:groff:libpipeline:less:libseccomp
man-pages,None
wget,glibc:zlib:gnutls:libidn2:libidn2.so=0-64:util-linux-libs:libuuid.so=1-64:libpsl:libpsl.so=5-64:pcre2:nettle:libnettle.so=8-64
vim,vim-runtime=9.0.1046-1:gpm:acl:glibc:libgcrypt:zlib:perl
git,curl:expat:perl:perl-error:perl-mailtools:openssl:pcre2:grep:shadow:zlib
zsh,pcre:libcap:gdbm
htop,libcap:libcap.so=2-64:libnl:ncurses:libncursesw.so=6-64
scrot,imlib2:libxext:libxfixes:libxcomposite:libbsd
bat,libgit2:oniguruma
thunar,desktop-file-utils:libexif:hicolor-icon-theme:libnotify:pcre2:libgudev:exo:libxfce4util:libxfce4ui:libpng
openssh,glibc:krb5:libkrb5.so=3-64:libgssapi_krb5.so=2-64:ldns:libedit:libxcrypt:libcrypt.so=2-64:openssl:pam:libpam.so=0-64:zlib
ueberzug,libxext:python-attrs:python-docopt:python-pillow:python-xlib
picom,hicolor-icon-theme:libconfig:libdbus:libev:libgl:pcre:pixman:xcb-util-image:xcb-util-renderutil
dunst,libxinerama:dbus:systemd:wayland:libxss:pango:gdk-pixbuf2:libxrandr:glib2
xorg-server,libepoxy:libxfont2:pixman:xorg-server-common:libunwind:dbus:libgl:xf86-input-libinput:nettle:libpciaccess:libdrm:libxshmfence:libxcvt
xorg-xwininfo,libxcb
xorg-xinit,libx11:xorg-xauth:xorg-xrdb:xorg-xmodmap
xorg-xprop,libx11
xorg-xinput,libx11:libxi>=1.5.99.2:xorg-xrandr:libxinerama
xwallpaper,pixman:libpng:libxpm:xcb-util:xcb-util-image:libjpeg-turbo:libseccomp:libseccomp.so=2-64:libpixman-1.so=0-64:libjpeg.so=8-64
xorg-xrandr,libxrandr:libx11
