package_id,version,release_date
1,1.2.8-1,2022-10-25
1,1.2.7.2-1,2022-07-09
2,3-1,2022-07-19
2,2-2,2019-11-13
3,0.22.1-1,2022-09-11
3,0.22.0-1,2022-09-07
4,5.66-1,2022-11-11
4,5.65-3,2022-09-02
5,5.66-1,2022-11-11
5,5.65-3,2022-09-02
6,1.9.0-1,2022-07-02
6,1.8.1-1,2022-03-02
7,2.39.0-1,2022-12-12
7,2.38.2-1,2022-12-12
8,3.2.1-1,2022-06-03
8,3.2.0-1,2022-05-02
9,20221214.f3c283e-1,2022-12-16
9,20221109.60310c2-2,2022-11-22
10,6.1.arch1-1,2022-12-12
10,6.1.4.arch1-1,2023-01-07
11,2.9.4-2,2021-06-22
11,2.9.4-1,2021-02-09
12,6.02-1,2023-01-01
12,6.01-1,2022-10-19
13,9.1p1-3,2022-11-01
13,9.1p1-2,2022-11-01
14,9.1-3,2022-04-25
14,9.1-2,2022-02-14
15,1.7-1,2021-11-10
15,1.6-2,2021-08-06
16,2.2.4-1,2023-01-07
16,2.2.3-1,2022-12-11
17,4.18.1-1,2022-12-22
17,4.18.0-1,2022-12-15
18,18.1.9-4,2022-09-06
18,18.1.9-3,2021-12-03
19,9.0.1046-1,2022-12-11
19,9.0.0910-1,2022-11-19
20,1.21.3-1,2022-03-20
20,1.21.2-1,2021-09-07
21,21.1.6-1,2022-12-19
21,21.1.5-1,2022-12-14
22,1.4.2-1,2022-12-04
22,1.4.1-3,2020-10-10
23,1.6.3-3,2022-05-21
23,1.6.3-2,2020-05-16
24,1.2.6-1,2022-12-04
24,1.2.5-1,2020-11-20
25,1.5.2-1,2022-12-04
25,1.5.1-2,2020-05-16
26,1.1.5-3,2022-05-21
26,1.1.5-2,2020-05-15
27,0.7.4-1,2022-07-04
27,0.7.3-2,2022-01-26
28,5.9-2,2022-12-14
28,5.9-1,2022-05-15
