package_name,version,release_date
alsa-ucm-conf,1.2.8-1,2022-10-25
alsa-ucm-conf,1.2.7.2-1,2022-07-09
base,3-1,2022-07-19
base,2-2,2019-11-13
bat,0.22.1-1,2022-09-11
bat,0.22.0-1,2022-09-07
bluez,5.66-1,2022-11-11
bluez,5.65-3,2022-09-02
bluez-utils,5.66-1,2022-11-11
bluez-utils,5.65-3,2022-09-02
dunst,1.9.0-1,2022-07-02
dunst,1.8.1-1,2022-03-02
git,2.39.0-1,2022-12-12
git,2.38.2-1,2022-12-12
htop,3.2.1-1,2022-06-03
htop,3.2.0-1,2022-05-02
linux-firmware,20221214.f3c283e-1,2022-12-16
linux-firmware,20221109.60310c2-2,2022-11-22
linux,6.1.arch1-1,2022-12-12
linux,6.1.4.arch1-1,2023-01-07
man-db,2.9.4-2,2021-06-22
man-db,2.9.4-1,2021-02-09
man-pages,6.02-1,2023-01-01
man-pages,6.01-1,2022-10-19
openssh,9.1p1-3,2022-11-01
openssh,9.1p1-2,2022-11-01
picom,9.1-3,2022-04-25
picom,9.1-2,2022-02-14
scrot,1.7-1,2021-11-10
scrot,1.6-2,2021-08-06
sof-firmware,2.2.4-1,2023-01-07
sof-firmware,2.2.3-1,2022-12-11
thunar,4.18.1-1,2022-12-22
thunar,4.18.0-1,2022-12-15
ueberzug,18.1.9-4,2022-09-06
ueberzug,18.1.9-3,2021-12-03
vim,9.0.1046-1,2022-12-11
vim,9.0.0910-1,2022-11-19
wget,1.21.3-1,2022-03-20
wget,1.21.2-1,2021-09-07
xorg-server,21.1.6-1,2022-12-19
xorg-server,21.1.5-1,2022-12-14
xorg-xinit,1.4.2-1,2022-12-04
xorg-xinit,1.4.1-3,2020-10-10
xorg-xinput,1.6.3-3,2022-05-21
xorg-xinput,1.6.3-2,2020-05-16
xorg-xprop,1.2.6-1,2022-12-04
xorg-xprop,1.2.5-1,2020-11-20
xorg-xrandr,1.5.2-1,2022-12-04
xorg-xrandr,1.5.1-2,2020-05-16
xorg-xwininfo,1.1.5-3,2022-05-21
xorg-xwininfo,1.1.5-2,2020-05-15
xwallpaper,0.7.4-1,2022-07-04
xwallpaper,0.7.3-2,2022-01-26
zsh,5.9-2,2022-12-14
zsh,5.9-1,2022-05-15
